Year,Rank,Team,Total Attendance,Avg. Attendance,Approx. Payroll ,W-L Record,W Record,L Record,Run Difference,RK,Total Games,Runs/Games,Hits,Stolen Bases,Walks,Stike Outs,Batting Average,On Base %,Slugging %,,
2024,13,AZ Diamondbacks,"2,341,876","28,912","$161,660,152 ",0.54938,89,73,0.6,8,162,5.47,1452,119,569,1265,0.263,0.337,0.44,,
2024,10,ATL Braves,"3,011,755","37,182","$241,662,300 ",0.54938,89,73,0.6,9,162,4.35,1333,69,485,1461,0.243,0.309,0.415,,
2024,11,BAL Orioles,"2,281,129","28,162","$117,347,715 ",0.56173,91,71,0.5,7,162,4.85,1391,98,489,1359,0.25,0.315,0.435,,
2024,18,BOS Red Sox,"2,659,949","32,839","$160,834,775 ",0.50000,81,81,0,18,162,4.64,1404,144,493,1570,0.252,0.319,0.423,,
2024,15,CHI Cubs,"2,909,794","35,923","$223,048,500 ",0.51235,83,79,0.4,16,162,4.54,1318,143,546,1362,0.242,0.317,0.393,,
2024,30,CHI White Sox,"1,380,733","17,046","$137,170,125 ",0.25309,41,121,-1.9,30,162,3.13,1187,90,395,1403,0.221,0.278,0.34,,
2024,22,CIN Reds,"2,024,178","24,990","$98,323,334 ",0.47531,77,85,0,22,162,4.31,1230,207,496,1459,0.231,0.305,0.388,,
2024,4,CLE Guardians,"2,056,264","25,703","$94,230,728 ",0.57143,92,69,0.5,6,161,4.4,1263,148,466,1196,0.238,0.307,0.395,,
2024,29,COL Rockies,"2,540,195","31,360","$147,069,963 ",0.37654,61,101,-1.5,29,162,4.21,1319,85,453,1617,0.242,0.304,0.4,,
2024,8,DET Tigers,"1,858,295","22,942","$105,584,833 ",0.53086,86,76,0.2,12,162,4.21,1273,76,476,1461,0.234,0.3,0.385,,
2024,12,HOU Astros,"2,835,234","35,003","$275,678,766 ",0.54658,88,73,0.6,11,161,4.6,1448,93,448,1176,0.262,0.322,0.418,,
2024,6,KAS Royals,"1,658,347","20,473","$113,442,261 ",0.53086,86,76,0.6,13,162,4.54,1343,134,429,1161,0.248,0.306,0.403,,
2024,27,LA Angels,"2,577,597","31,822","$165,637,050 ",0.38889,63,99,-1,27,162,3.92,1227,133,482,1416,0.229,0.301,0.369,,
2024,1,LA Dodgers,"3,941,251","48,657","$262,386,278 ",0.61635,98,61,1,1,159,5.2,1423,136,602,1336,0.258,0.335,0.446,,
2024,28,MIA Marlins,"1,087,455","13,425","$109,992,600 ",0.38272,62,100,-1.3,28,162,3.93,1347,125,403,1410,0.244,0.3,0.378,,
2024,9,MIL Brewers,"2,537,202","31,323","$115,142,460 ",0.57407,93,69,0.8,4,162,4.8,1359,217,597,1459,0.248,0.326,0.403,,
2024,17,MIN Twins,"1,951,616","24,094","$135,262,591 ",0.50617,82,80,0,17,162,4.58,1352,65,473,1306,0.246,0.315,0.411,,
2024,3,NY Mets,"2,329,299","28,757","$262,702,250 ",0.54938,89,73,0.4,10,162,4.74,1357,106,514,1382,0.246,0.319,0.415,,
2024,2,NY Yankees,"3,309,838","40,862","$291,463,084 ",0.58025,94,68,0.9,3,162,5.03,1352,88,672,1326,0.248,0.333,0.429,,
2024,26,OAK Athletics,"922,286","11,386","$55,690,000 ",0.00000,,,-0.7,,0,3.97,1267,98,493,1502,0.233,0.301,0.393,,
2024,7,PHI Phillies,"3,363,712","41,527","$248,632,283 ",0.58642,95,67,0.7,2,162,4.84,1423,148,515,1370,0.257,0.325,0.425,,
2024,23,PIT Pirates,"1,720,361","21,239","$97,476,500 ",0.46914,76,86,-0.5,23,162,4.1,1283,106,485,1506,0.234,0.301,0.371,,
2024,5,SD Padres,"3,330,545","41,118","$159,391,555 ",0.57407,93,69,0.6,5,162,4.69,1456,120,458,1077,0.263,0.324,0.42,,
2024,19,SF Giants,"2,647,736","32,688","$232,370,883 ",0.49383,80,82,0,20,162,4.17,1195,140,571,1625,0.224,0.311,0.376,,
2024,14,SEA Mariners,"2,555,813","31,553","$142,547,548 ",0.52469,85,77,0.4,14,162,4.28,1303,68,492,1452,0.239,0.305,0.396,,
2024,16,STL Cardinals,"2,878,115","35,532","$189,534,400 ",0.51235,83,79,-0.3,15,162,4.15,1363,91,478,1318,0.248,0.312,0.392,,
2024,20,TB Rays,"1,337,739","16,515","$128,533,112 ",0.49383,80,82,-0.4,19,162,3.73,1241,178,493,1485,0.23,0.302,0.366,,
2024,21,TEX Rangers,"2,651,553","32,735","$261,471,834 ",0.48148,78,84,-0.3,21,162,4.22,1302,97,490,1284,0.238,0.305,0.38,,
2024,24,TOR Blue Jays,"2,681,236","33,102","$225,628,287 ",0.45679,74,88,-0.4,24,162,4.14,1306,72,510,1233,0.241,0.313,0.389,,
2024,25,WAS Nationals,"1,967,302","24,288","$132,086,867 ",0.43827,71,91,-0.6,25,162,4.07,1306,223,456,1220,0.243,0.309,0.375,,
2023,2,AZ Diamondbacks,"1,961,182","24,212","$115,247,571 ",0.51852,84,78,-0.1,12,162,4.6,1359,166,540,1247,0.25,0.322,0.408,,
2023,7,ATL Braves,"3,191,505","39,401","$194,197,500 ",0.64198,104,58,1.4,1,162,5.85,1543,132,538,1289,0.276,0.344,0.501,,
2023,5,BAL Orioles,"1,936,798","23,911","$82,758,114 ",0.62346,101,61,0.8,2,162,4.98,1399,114,512,1370,0.255,0.321,0.421,,
2023,20,BOS Red Sox,"2,672,130","32,989","$181,282,500 ",0.48148,78,84,0,20,162,4.77,1437,112,486,1372,0.258,0.324,0.424,,
2023,14,CHI Cubs,"2,775,149","34,261","$162,918,250 ",0.51235,83,79,0.6,14,162,5.06,1399,140,570,1391,0.254,0.33,0.421,,
2023,27,CHI White Sox,"1,669,628","20,613","$140,725,951 ",0.37654,61,101,-1.2,27,162,3.96,1308,86,377,1424,0.238,0.291,0.384,,
2023,16,CIN Reds,"2,038,302","25,164","$77,877,833 ",0.50617,82,80,-0.2,17,162,4.83,1371,190,556,1500,0.249,0.327,0.42,,
2023,21,CLE Guardians,"1,834,068","22,643","$70,114,729 ",0.46914,76,86,-0.2,22,162,4.09,1379,151,471,1142,0.25,0.313,0.381,,
2023,28,COL Rockies,"2,607,935","32,197","$155,645,682 ",0.36420,59,103,-1.5,28,162,4.45,1368,76,447,1543,0.249,0.31,0.405,,
2023,19,DET Tigers,"1,612,876","19,912","$119,236,836 ",0.48148,78,84,-0.5,19,162,4.08,1292,85,508,1473,0.236,0.305,0.382,,
2023,3,HOU Astros,"3,052,347","37,683","$240,388,766 ",0.55556,90,72,0.8,7,162,5.1,1441,107,550,1241,0.259,0.331,0.437,,
2023,29,KAS Royals,"1,307,052","16,136","$88,186,975 ",0.34568,56,106,-1.1,29,162,4.17,1325,163,411,1396,0.244,0.303,0.398,,
2023,24,LA Angels,"2,640,575","32,600","$218,537,055 ",0.45062,73,89,-0.6,24,162,4.56,1346,72,518,1524,0.245,0.317,0.426,,
2023,6,LA Dodgers,"3,837,079","47,371","$227,091,667 ",0.61728,100,62,1.3,3,162,5.59,1422,105,644,1359,0.257,0.34,0.455,,
2023,10,MIA Marlins,"1,162,819","14,356","$114,351,500 ",0.51852,84,78,-0.4,13,162,4.11,1423,86,430,1287,0.259,0.316,0.405,,
2023,9,MIL Brewers,"2,551,347","31,498","$138,288,760 ",0.56790,92,70,0.5,5,162,4.49,1290,129,591,1412,0.24,0.319,0.385,,
2023,11,MIN Twins,"1,974,124","24,372","$137,798,640 ",0.53704,87,75,0.7,11,162,4.8,1336,86,594,1654,0.243,0.326,0.428,,
2023,23,NY Mets,"2,573,555","31,772","$208,427,344 ",0.46296,75,87,-0.1,23,162,4.43,1276,118,525,1331,0.238,0.316,0.407,,
2023,17,NY Yankees,"3,269,016","40,358","$259,417,008 ",0.50617,82,80,-0.2,15,162,4.15,1207,100,557,1427,0.227,0.304,0.397,,
2023,30,OAK Athletics,"832,352","10,276","$51,230,000 ",0.30864,50,112,-2.1,30,162,3.61,1187,149,498,1496,0.223,0.298,0.37,,
2023,4,PHI Phillies,"3,052,605","37,686","$241,362,606 ",0.55556,90,72,0.5,8,162,4.91,1417,141,539,1481,0.256,0.327,0.438,,
2023,22,PIT Pirates,"1,630,624","20,131","$72,407,500 ",0.46914,76,86,-0.6,21,162,4.27,1293,117,556,1464,0.239,0.315,0.392,,
2023,15,SD Padres,"3,271,554","40,390","$236,200,139 ",0.50617,82,80,0.6,16,162,4.64,1316,137,653,1311,0.244,0.329,0.413,,
2023,18,SF Giants,"2,690,418","33,215","$128,155,663 ",0.48765,79,83,-0.3,18,162,4.68,1332,118,548,1603,0.242,0.321,0.413,,
2023,13,SEA Mariners,"2,500,153","30,866","$177,920,416 ",0.54321,88,74,0.6,10,162,4.16,1271,57,544,1492,0.235,0.312,0.383,,
2023,25,STL Cardinals,"3,241,091","40,013","$174,086,450 ",0.43827,71,91,-0.7,25,162,4.44,1376,101,570,1326,0.25,0.326,0.416,,
2023,8,TB Rays,"1,440,301","17,781","$75,441,212 ",0.61111,99,63,1.2,4,162,5.31,1432,160,514,1420,0.26,0.331,0.445,,
2023,1,TEX Rangers,"2,533,044","31,272","$248,537,867 ",0.55556,90,72,1,6,162,5.44,1470,79,599,1416,0.263,0.337,0.452,,
2023,12,TOR Blue Jays,"3,021,904","37,307","$211,190,269 ",0.54938,89,73,0.5,9,162,4.6,1423,99,550,1303,0.256,0.329,0.417,,
2023,26,WAS Nationals,"1,865,832","23,035","$99,211,578 ",0.43827,71,91,-0.9,26,162,4.32,1401,127,423,1149,0.254,0.314,0.396,,
2022,20,AZ Diamondbacks,"1,605,199","19,817","$78,860,000 ",0.45679,74,88,-0.2,19,162,4.33,1232,104,531,1341,0.23,0.304,0.385,,
2022,6,ATL Braves,"3,129,931","38,641","$181,075,000 ",0.62346,101,61,1.1,3,162,4.87,1394,87,470,1498,0.253,0.317,0.443,,
2022,14,BAL Orioles,"1,368,367","16,893","$48,000,000 ",0.51235,83,79,-0.1,14,162,4.16,1281,95,476,1390,0.236,0.305,0.39,,
2022,18,BOS Red Sox,"2,625,089","32,409","$188,420,000 ",0.48148,78,84,-0.3,18,162,4.54,1427,52,478,1373,0.258,0.321,0.409,,
2022,19,CHI Cubs,"2,616,780","32,306","$131,085,000 ",0.45679,74,88,-0.5,20,162,4.06,1293,111,507,1448,0.238,0.311,0.387,,
2022,15,CHI White Sox,"2,009,359","24,807","$167,458,334 ",0.50000,81,81,-0.2,16,162,4.23,1435,58,388,1269,0.256,0.31,0.387,,
2022,28,CIN Reds,"1,395,770","17,232","$111,882,381 ",0.38272,62,100,-1,27,162,4,1264,58,452,1430,0.235,0.304,0.372,,
2022,7,CLE Guardians,"1,295,870","15,998","$65,960,000 ",0.56790,92,70,0.4,7,162,4.31,1410,119,450,1122,0.254,0.316,0.383,,
2022,24,COL Rockies,"2,597,428","32,067","$112,605,000 ",0.41975,68,94,-1.1,23,162,4.31,1408,45,453,1330,0.254,0.315,0.398,,
2022,25,DET Tigers,"1,575,544","19,214","$117,740,000 ",0.40741,66,96,-1,25,162,3.44,1240,47,380,1413,0.231,0.286,0.346,,
2022,1,HOU Astros,"2,688,998","33,198","$164,789,600 ",0.65432,106,56,1.4,2,162,4.55,1341,83,528,1179,0.248,0.319,0.424,,
2022,26,KAS Royals,"1,277,686","15,774","$87,410,000 ",0.40123,65,97,-1,26,162,3.95,1327,104,460,1287,0.244,0.306,0.38,,
2022,21,LA Angels,"2,457,461","30,339","$167,063,095 ",0.45062,73,89,-0.3,21,162,3.85,1265,77,449,1539,0.233,0.297,0.39,,
2022,8,LA Dodgers,"3,861,408","47,672","$261,180,131 ",0.68519,111,51,2.1,1,162,5.23,1418,98,607,1374,0.257,0.333,0.442,,
2022,22,MIA Marlins,"907,487","11,204","$68,200,000 ",0.42593,69,93,-0.6,22,162,3.62,1241,122,436,1429,0.23,0.294,0.363,,
2022,13,MIL Brewers,"2,422,420","29,906","$128,421,127 ",0.53086,86,76,0.2,13,162,4.48,1271,96,577,1464,0.235,0.315,0.409,,
2022,17,MIN Twins,"1,801,128","22,236","$110,792,857 ",0.48148,78,84,0.1,17,162,4.3,1356,38,518,1353,0.248,0.317,0.401,,
2022,10,NY Mets,"2,564,737","31,663","$240,473,333 ",0.62346,101,61,1,4,162,4.77,1422,62,510,1217,0.259,0.332,0.412,,
2022,3,NY Yankees,"3,136,207","38,719","$238,950,714 ",0.61111,99,63,1.5,5,162,4.98,1308,102,620,1391,0.241,0.325,0.426,,
2022,29,OAK Athletics,"787,902","9,849","$50,248,334 ",0.37037,60,102,-1.2,29,162,3.51,1147,78,433,1389,0.216,0.281,0.346,,
2022,2,PHI Phillies,"2,276,736","28,108","$209,488,461 ",0.53704,87,75,0.4,11,162,4.61,1392,105,478,1363,0.253,0.317,0.422,,
2022,27,PIT Pirates,"1,257,458","15,524","$37,925,000 ",0.38272,62,100,-1.4,28,162,3.65,1186,89,476,1497,0.222,0.291,0.364,,
2022,4,SD Padres,"2,987,470","36,882","$192,600,824 ",0.54938,89,73,0.3,10,162,4.35,1317,49,574,1327,0.241,0.318,0.382,,
2022,16,SF Giants,"2,287,267","28,238","$78,285,000 ",0.50000,81,81,0.1,15,162,4.26,1236,83,596,1397,0.23,0.315,0.39,,
2022,5,SEA Mariners,"2,482,686","30,650","$147,929,667 ",0.55556,90,72,0.4,9,162,4.42,1261,64,571,1462,0.234,0.315,0.39,,
2022,9,STL Cardinals,"3,320,551","40,994","$156,814,666 ",0.57407,93,69,0.8,6,162,4.77,1386,95,537,1226,0.252,0.325,0.42,,
2022,12,TB Rays,"1,128,127","13,927","$73,004,211 ",0.53086,86,76,0.3,12,162,4.11,1294,95,500,1395,0.239,0.309,0.377,,
2022,23,TEX Rangers,"2,011,361","24,832","$120,176,667 ",0.41975,68,94,-0.2,24,162,4.36,1308,128,456,1446,0.239,0.301,0.395,,
2022,11,TOR Blue Jays,"2,653,830","32,763","$172,705,857 ",0.56790,92,70,0.6,8,162,4.78,1464,67,500,1242,0.264,0.329,0.431,,
2022,30,WAS Nationals,"2,026,401","25,017","$125,051,666 ",0.33951,55,107,-1.6,30,162,3.72,1351,75,442,1221,0.249,0.31,0.377,,
2021,30,AZ Diamondbacks,"1,043,010","12,877","$77,691,667 ",0.32099,52,110,-1.3,30,162,4.19,1297,43,537,1465,0.236,0.309,0.382,,
2021,1,ATL Braves,"2,299,647","28,746","$127,230,000 ",0.54658,88,73,0.8,12,161,4.91,1307,59,549,1453,0.244,0.319,0.435,,
2021,29,BAL Orioles,"793,229","9,793","$42,075,000 ",0.32099,52,110,-1.8,29,162,4.07,1296,54,451,1454,0.239,0.304,0.402,,
2021,4,BOS Red Sox,"1,725,323","21,300","$156,095,000 ",0.56790,92,70,0.5,7,162,5.12,1434,40,512,1386,0.261,0.328,0.449,,
2021,24,CHI Cubs,"1,978,934","24,431","$144,413,500 ",0.43827,71,91,-0.8,24,162,4.35,1255,86,502,1596,0.237,0.312,0.407,,
2021,5,CHI White Sox,"1,596,385","19,708","$115,546,333 ",0.57407,93,69,1,6,162,4.91,1373,57,586,1389,0.256,0.336,0.422,,
2021,14,CIN Reds,"1,505,024","18,581","$116,784,881 ",0.51235,83,79,0.2,14,162,4.85,1352,36,553,1425,0.249,0.328,0.431,,
2021,16,CLE Guardians,"1,114,368","13,758","$50,425,500 ",0.00000,0,0,-0.1,,0,4.43,1269,109,453,1387,0.238,0.303,0.407,,
2021,21,COL Rockies,"1,938,645","23,934","$92,675,000 ",0.45963,74,87,-0.4,21,161,4.59,1338,76,491,1356,0.249,0.317,0.414,,
2021,18,DET Tigers,"1,102,621","13,613","$78,590,500 ",0.47531,77,85,-0.4,19,162,4.3,1299,88,490,1514,0.242,0.308,0.399,,
2021,2,HOU Astros,"2,068,509","25,537","$190,400,000 ",0.58642,95,67,1.3,4,162,5.33,1496,53,569,1222,0.267,0.339,0.444,,
2021,22,KC Royals,"1,159,613","14,316","$86,820,000 ",0.45679,74,88,-0.6,22,162,4.23,1349,124,421,1258,0.249,0.306,0.396,,
2021,20,LA Angels,"1,515,689","18,484","$188,408,595 ",0.00000,0,0,-0.5,,0,4.46,1331,79,464,1394,0.245,0.31,0.407,,
2021,3,LA Dodgers,"2,804,693","34,626","$248,108,334 ",0.65432,106,56,1.7,2,162,5.12,1330,65,613,1408,0.244,0.33,0.429,,
2021,25,MIA Marlins,"642,617","7,934","$33,150,000 ",0.41358,67,95,-0.5,25,162,3.85,1244,106,450,1553,0.233,0.298,0.372,,
2021,6,MIL Brewers,"1,824,282","22,522","$85,517,626 ",0.58642,95,67,0.7,5,162,4.56,1251,82,586,1465,0.233,0.317,0.396,,
2021,23,MIN Twins,"1,310,199","16,175","$120,158,333 ",0.45062,73,89,-0.6,23,162,4.5,1311,54,525,1405,0.241,0.314,0.423,,
2021,19,NY Mets,"1,511,926","18,666","$184,675,167 ",0.47531,77,85,-0.2,20,162,3.93,1243,54,495,1392,0.239,0.315,0.391,,
2021,10,NY Yankees,"1,959,854","24,196","$209,799,047 ",0.56790,92,70,0.3,8,162,4.39,1266,63,621,1482,0.237,0.322,0.407,,
2021,13,OAK Athletics,"701,430","8,660","$94,555,834 ",0.53086,86,76,0.3,13,162,4.59,1284,88,545,1349,0.238,0.317,0.406,,
2021,15,PHI Phillies,"1,515,890","18,715","$185,286,962 ",0.50617,82,80,-0.1,15,162,4.53,1288,77,564,1402,0.24,0.318,0.408,,
2021,27,PIT Pirates,"859,498","10,611","$50,255,000 ",0.37654,61,101,-1.4,27,162,3.76,1261,60,529,1328,0.236,0.309,0.364,,
2021,17,SD Padres,"2,191,950","27,061","$154,984,286 ",0.48765,79,83,0.1,17,162,4.5,1305,110,586,1324,0.242,0.321,0.401,,
2021,8,SF Giants,"1,215,985","15,012","$64,605,500 ",0.66049,107,55,1.3,1,162,4.3,1209,64,535,1492,0.226,0.303,0.385,,
2021,12,SEA Mariners,"1,679,484","20,734","$150,863,778 ",0.55556,90,72,-0.3,11,162,4.96,1360,66,602,1461,0.249,0.329,0.44,,
2021,9,STL Cardinals,"2,102,530","25,957","$155,329,667 ",0.55556,90,72,0.2,10,162,4.36,1303,89,478,1341,0.244,0.313,0.412,,
2021,7,TB Rays,"761,072","9,396","$52,937,166 ",0.61728,100,62,1.3,3,162,5.29,1336,88,585,1542,0.243,0.321,0.429,,
2021,28,TEX Rangers,"2,110,258","26,053","$67,890,999 ",0.37037,60,102,-1.2,28,162,3.86,1254,106,433,1381,0.232,0.294,0.375,,
2021,11,TOR Blue Jays,"805,901","10,074","$121,694,071 ",0.56173,91,71,1.1,9,162,5.22,1455,81,496,1218,0.266,0.33,0.466,,
2021,26,WAS Nationals,"1,465,543","18,093","$172,370,147 ",0.40123,65,97,-0.6,26,162,4.47,1388,56,573,1303,0.258,0.337,0.417,,
2020,26,AZ Diamondbacks,0,0,"$88,176,667 ",0.41667,25,35,-0.4,25,60,4.48,482,23,181,461,0.241,0.312,0.391,,
2020,4,ATL Braves,0,0,"$130,705,000 ",0.58333,35,25,1,6,60,5.8,556,23,239,573,0.268,0.349,0.483,,
2020,25,BAL Orioles,0,0,"$52,190,000 ",0.41667,25,35,-0.3,26,60,4.57,523,19,164,514,0.258,0.321,0.429,,
2020,27,BOS Red Sox,0,0,"$171,984,429 ",0.40000,24,36,-1,27,60,4.87,552,31,187,545,0.265,0.33,0.445,,
2020,16,CHI Cubs,0,0,"$181,560,000 ",0.56667,34,26,0.4,9,60,4.42,422,24,229,568,0.22,0.318,0.387,,
2020,15,CHI White Sox,0,0,"$119,066,333 ",0.58333,35,25,1,7,60,5.1,534,20,179,571,0.261,0.326,0.453,,
2020,12,CIN Reds,0,0,"$120,781,165 ",0.51667,31,29,0,13,60,4.05,390,29,239,534,0.212,0.312,0.403,,
2020,13,CLE Guardians,0,0,"$101,991,668 ",0.58333,35,25,0.7,8,60,4.13,446,25,239,517,0.228,0.317,0.372,,
2020,23,COL Rockies,0,0,"$144,730,000 ",0.43333,26,34,-1.3,20,60,4.58,528,42,161,543,0.257,0.311,0.405,,
2020,28,DET Tigers,0,0,"$88,385,000 ",0.39655,23,35,-1.2,28,58,4.29,463,19,147,567,0.245,0.303,0.397,,
2020,3,HOU Astros,0,0,"$217,000,000 ",0.48333,29,31,0.1,17,60,4.65,478,22,192,440,0.24,0.312,0.408,,
2020,22,KC Royals,0,0,"$68,600,000 ",0.43333,26,34,-0.4,22,60,4.13,485,49,172,527,0.244,0.309,0.402,,
2020,21,LA Angels,0,0,"$181,254,762 ",0.43333,26,34,-0.5,23,60,4.9,501,21,239,490,0.248,0.332,0.43,,
2020,1,LA Dodgers,0,0,"$216,508,333 ",0.71667,43,17,2.3,1,60,5.82,523,29,228,471,0.256,0.338,0.483,,
2020,8,MIA Marlins,0,0,"$68,450,000 ",0.51667,31,29,-0.7,14,60,4.38,472,51,191,537,0.244,0.319,0.384,,
2020,9,MIL Brewers,0,0,"$103,541,667 ",0.48333,29,31,-0.3,16,60,4.12,429,15,221,582,0.223,0.313,0.389,,
2020,11,MIN Twins,0,0,"$134,838,333 ",0.60000,36,24,0.9,5,60,4.48,468,14,186,528,0.242,0.315,0.427,,
2020,20,NY Mets,0,0,"$162,078,667 ",0.43333,26,34,-0.4,24,60,4.77,551,20,197,498,0.272,0.348,0.459,,
